roi_policy,perturbation_type,perturbation_level,jaccard,delta_abs_error_um,dataset,fov_id,delta_mae_um
all_rois,noise,0.01,1.0,-0.28226375579833984,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.28226375579833984
all_rois,noise,0.02,1.0,-0.17034626007080078,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.17034626007080078
all_rois,brightness,0.05,1.0,0.2031397819519043,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2031397819519043
all_rois,brightness,-0.05,1.0,0.23488521575927734,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23488521575927734
all_rois,contrast,0.9,1.0,0.23485040664672852,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23485040664672852
all_rois,contrast,1.1,1.0,0.1994950771331787,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.1994950771331787
cnn_adaptive,blur,0.8,0.9649122807017544,0.59564208984375,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.59564208984375
cnn_adaptive,blur,1.2,0.9649122807017544,0.8033828735351562,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8033828735351562
cnn_adaptive,noise,0.01,0.9310344827586207,-0.2943272590637207,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.2943272590637207
cnn_adaptive,noise,0.02,0.8666666666666667,0.2689478397369385,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2689478397369385
cnn_adaptive,brightness,0.05,0.7777777777777778,0.2750232219696045,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.2750232219696045
cnn_adaptive,brightness,-0.05,0.8360655737704918,0.341630220413208,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.341630220413208
cnn_adaptive,contrast,0.9,0.8666666666666667,0.27505922317504883,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.27505922317504883
cnn_adaptive,contrast,1.1,0.9310344827586207,0.3377082347869873,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.3377082347869873
center_top1,blur,0.8,1.0,0.34113168716430664,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.34113168716430664
center_top1,blur,1.2,1.0,0.4930838346481323,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.4930838346481323
center_top1,noise,0.01,1.0,-0.6108248233795166,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,-0.6108248233795166
center_top1,noise,0.02,1.0,0.04888558387756348,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.04888558387756348
center_top1,brightness,0.05,1.0,0.07199645042419434,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.07199645042419434
center_top1,brightness,-0.05,1.0,0.07737922668457031,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.07737922668457031
center_top1,contrast,0.9,1.0,0.07204055786132812,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.07204055786132812
center_top1,contrast,1.1,1.0,0.07245469093322754,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,0.07245469093322754
random_k@k=1,blur,0.8,1.0,-0.2615382671356201,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,-0.2615382671356201
random_k@k=1,blur,1.2,1.0,-0.35129499435424805,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_3/pos002_3_page_11.png,-0.35129499435424805
